collectTime,deviceSn,deviceType,name,value,unit,key
2025-06-18 08:43:24,SQ1021080KE22B300010,INVERTER,SN,SQ1021080KE22B300010,,SN1
2025-06-18 08:43:24,SQ1021080KE22B300010,INVERTER,Production Compliance Country,Europe General,,SS_CY1
2025-06-18 08:43:24,SQ1021080KE22B300010,INVERTER,Safety Standard,EU General,,SSD
2025-06-18 08:43:24,SQ1021080KE22B300010,INVERTER,Rated Power,80000,W,Pr1
2025-06-18 08:43:24,SQ1021080KE22B300010,INVERTER,Slave Address,01,,S_Adds
2025-06-18 08:43:24,SQ1021080KE22B300010,INVERTER,Model,80KTLX-G3,,D_M
2025-06-18 08:43:24,SQ1021080KE22B300010,INVERTER,System Time,2025-06-18 14:05:54,,SYSTIM1
2025-06-18 08:43:24,SQ1021080KE22B300010,INVERTER,DSPM Firmware Version,V000021,,M_S_V
2025-06-18 08:43:24,SQ1021080KE22B300010,INVERTER,DSPS Firmware Version,V000021,,V_S_V
2025-06-18 08:43:24,SQ1021080KE22B300010,INVERTER,Standard Main Version,0607,,S_M_V
2025-06-18 08:43:24,SQ1021080KE22B300010,INVERTER,ARM Firmware Version,V000013,,COMM_CPU_SWv1
2025-06-18 08:43:24,SQ1021080KE22B300010,INVERTER,DC Voltage PV1,685.10,V,DV1
2025-06-18 08:43:24,SQ1021080KE22B300010,INVERTER,DC Voltage PV2,735.00,V,DV2
2025-06-18 08:43:24,SQ1021080KE22B300010,INVERTER,DC Voltage PV3,130.70,V,DV3
2025-06-18 08:43:24,SQ1021080KE22B300010,INVERTER,DC Voltage PV4,688.70,V,DV4
2025-06-18 08:43:24,SQ1021080KE22B300010,INVERTER,DC Voltage PV5,741.50,V,DV5
2025-06-18 08:43:24,SQ1021080KE22B300010,INVERTER,DC Voltage PV6,707.80,V,DV6
2025-06-18 08:43:24,SQ1021080KE22B300010,INVERTER,DC Current PV1,4.08,A,DC1
2025-06-18 08:43:24,SQ1021080KE22B300010,INVERTER,DC Current PV2,3.96,A,DC2
2025-06-18 08:43:24,SQ1021080KE22B300010,INVERTER,DC Current PV3,0.00,A,DC3
2025-06-18 08:43:24,SQ1021080KE22B300010,INVERTER,DC Current PV4,4.12,A,DC4
2025-06-18 08:43:24,SQ1021080KE22B300010,INVERTER,DC Current PV5,4.11,A,DC5
2025-06-18 08:43:24,SQ1021080KE22B300010,INVERTER,DC Current PV6,4.02,A,DC6
