collectTime,generationPower
09-05-2023 10:30,44700
09-05-2023 10:40,39890
09-05-2023 10:55,36650
09-05-2023 11:10,32920
09-05-2023 11:20,28580
09-05-2023 11:40,
09-05-2023 11:55,22800
09-05-2023 12:05,14550
09-05-2023 12:15,13080
09-05-2023 12:25,9500
09-05-2023 12:35,8080
09-05-2023 12:45,5660
09-05-2023 13:00,3800
09-05-2023 13:10,2230
09-05-2023 13:15,1610
09-05-2023 13:30,570
09-05-2023 13:35,0
09-05-2023 13:50,80
10-05-2023 00:15,0
10-05-2023 00:30,0
10-05-2023 00:40,740
10-05-2023 00:55,1830
10-05-2023 01:05,1830
10-05-2023 01:20,5170
10-05-2023 01:35,8110
10-05-2023 01:45,11530
10-05-2023 02:00,15220
10-05-2023 02:15,20640
10-05-2023 02:30,25120
10-05-2023 02:40,29550
10-05-2023 02:55,33870
10-05-2023 03:10,38230
10-05-2023 03:20,42080
10-05-2023 03:35,45820
10-05-2023 03:50,49850
10-05-2023 03:55,51520
10-05-2023 04:05,54580
10-05-2023 04:20,58090
10-05-2023 04:30,60460
10-05-2023 04:45,62680
10-05-2023 05:00,65350
10-05-2023 05:10,67620
10-05-2023 05:15,68160
10-05-2023 05:30,70150
10-05-2023 05:40,71180
10-05-2023 05:55,72010
10-05-2023 06:00,73600
10-05-2023 06:15,74990
10-05-2023 06:30,76870
10-05-2023 06:40,76510
10-05-2023 06:55,77550
10-05-2023 07:05,76450
10-05-2023 07:15,76290
10-05-2023 07:30,76010
10-05-2023 07:40,76010
10-05-2023 07:55,71810
10-05-2023 08:10,72020
10-05-2023 08:20,71120
10-05-2023 08:25,69900
10-05-2023 08:40,69080
10-05-2023 08:50,69080
10-05-2023 09:05,66820
10-05-2023 09:15,64110
10-05-2023 09:30,60410
10-05-2023 09:40,58320
10-05-2023 09:55,55160
10-05-2023 10:10,52100
10-05-2023 10:20,49000
10-05-2023 10:35,45280
10-05-2023 11:00,37550
10-05-2023 11:10,34280
10-05-2023 11:25,29760
10-05-2023 11:40,24750
10-05-2023 11:50,20400
10-05-2023 12:05,16490
10-05-2023 12:15,13020
10-05-2023 12:30,9020
10-05-2023 12:35,7860
10-05-2023 12:40,6840
10-05-2023 12:55,4440
10-05-2023 13:10,2520
10-05-2023 13:20,1240
10-05-2023 13:35,0
10-05-2023 13:45,0
,
11-05-2023 00:15,0
11-05-2023 00:30,0
11-05-2023 00:40,0
11-05-2023 00:55,1860
11-05-2023 01:10,3190
11-05-2023 01:20,5370
11-05-2023 01:35,8340
11-05-2023 01:45,11910
11-05-2023 02:00,16180
11-05-2023 02:15,20980
11-05-2023 02:30,25590
11-05-2023 02:40,29920
11-05-2023 02:55,34290
11-05-2023 03:05,34290
11-05-2023 03:20,42460
11-05-2023 03:35,46340
11-05-2023 03:45,49330
11-05-2023 04:00,52050
11-05-2023 04:10,55960
11-05-2023 04:25,59950
11-05-2023 04:35,61980
11-05-2023 04:50,64420
11-05-2023 05:05,67420
11-05-2023 05:15,68710
11-05-2023 05:30,70350
11-05-2023 05:40,71710
11-05-2023 05:55,73040
11-05-2023 06:05,74350
11-05-2023 06:20,75120
11-05-2023 06:30,75610
