collectTime,SN,Inverter Type,Production Compliance Country,Safety Standard,Rated Power,Total Number Of BTS 5K Online,PCU_ID,Parallel Function,Local Parallel Address,Master-Slave,Slave Address,Afci_Srs_Hard,Model,System Time,DSPM Firmware Version,DSPS Firmware Version,Standard Main Version,Protocol Version,Firmware version,ARM Firmware Version,PCU Software Version,AddressMask_BDU1,AddressMask_BDU2,BDU Software Version,Afci_Ver_Firmware,Afci_Ver_Sft,Afci_Ver_Hard,Afci_Ver_Com,Version Type,DC Voltage PV1,DC Voltage PV2,DC Voltage PV3,DC Voltage PV4,DC Voltage PV5,DC Voltage PV6,DC Voltage PV7,DC Voltage PV8,DC Voltage PV9,DC Voltage PV10,DC Voltage PV11,BUS Negative Ground Voltage,DC Voltage PV12,DC Voltage PV13,DC Voltage PV14,DC Voltage PV15,DC Voltage PV16,DC Current PV1,DC Current PV2,DC Current PV3,DC Current PV4,DC Current PV5,DC Current PV6,DC Current PV7,DC Current PV8,DC Current PV9,DC Current PV10,DC Current PV11,DC Current PV12,DC Current PV13,DC Current PV14,DC Current PV15,DC Current PV16,DC Power PV1,DC Power PV2,DC Power PV3,DC Power PV4,DC Power PV5,DC Power PV6,DC Power PV7,DC Power PV8,DC Power PV9,DC Power PV10,DC Power PV11,DC Power PV12,DC Power PV13,DC Power PV14,DC Power PV15,DC Power PV16,PV Total Power,Total Power Generation,Total DC Input Power,AC Voltage R/U/A,AC Voltage S/V/B,AC Voltage T/W/C,AC Current R/U/A,AC Current S/V/B,AC Current T/W/C,AC Output Frequency R,AC Power R/U/A,AC Power S/V/B,AC Power T/W/C,Total AC Output Power,Total AC Apparent Power,AC line voltage AB,Alternating Current Voltage-BC Line,Alternating Current Voltage-CA Line,Reactive Power-R phase,Reactive Power-S phase,Reactive Power-T phase,Output Voltage Off-grid--R phase,Output Voltage Off-grid--S phase,Output Voltage Off-grid--T phase,Power factor,FlyingCap Voltage7,Cumulative Production (Active),Daily Production (Active),Monthly Production (Active),Yearly Production (Active),ActivePower PV Ext,ActivePower Output L1N,ActivePower Output L2N,ActivePower PCC L1N,ActivePower PCC L2N,Total Pcc Reactive Power,Total Pcc Apparent Power,PCC AC Current R,PCC AC Current S,PCC AC Current T,PCC AC Power R,PCC AC Power S,PCC AC Power T,PCC Reactive Power R,PCC Reactive Power S,PCC Reactive Power T,PCC Power Factor R,PCC Power Factor S,PCC Power Factor T,ActivePower PV Ext,Leak Current,Insulation Impedance 1,Grid Status,Grid RS/UV/AB line voltage,Grid ST/VW/BC line voltage,Grid TR/WU/CA line voltage,Grid Frequency,Total Grid Power,Cumulative Grid Feed-in,Cumulative Energy Purchased,Daily Grid Feed-in,Daily Energy Purchased,Monthly Grid Feed-in,Monthly Energy Purchased,Yearly Grid Feed-in,Yearly Energy Purchased,Combiner Voltage-Group 1,String Current- Group 1 Line 1,String Current- Group 1 Line 2,Combiner Voltage-Group 2,String Current- Group 1 Line 3,String Current- Group 1 Line 4,String Current- Group 2 Line 1,String Current- Group 2 Line 2,Combiner Voltage-Group 3,String Current- Group 2 Line 3,String Current- Group 2 Line 4,String Current- Group 3 Line 1,String Current- Group 3 Line 2,Combiner Voltage-Group 4,String Current- Group 3 Line 3,String Current- Group 3 Line 4,String Current- Group 4 Line 1,String Current- Group 4 Line 2,Combiner Voltage-Group 5,String Current- Group 4 Line 3,String Current- Group 4 Line 4,String Current- Group 5 Line 1,String Current- Group 5 Line 2,Combiner Voltage-Group 6,String Current- Group 5 Line 3,String Current- Group 6 Line 1,String Current- Group 5 Line 4,String Current- Group 6 Line 2,Combiner Voltage-Group 7,String Current- Group 6 Line 3,String Current- Group 7 Line 1,String Current- Group 6 Line 4,String Current- Group 7 Line 2,Combiner Voltage-Group 8,String Current- Group 7 Line 3,String Current- Group 8 Line 1,String Current- Group 7 Line 4,String Current- Group 8 Line 2,Combiner Voltage-Group 9,String Current- Group 8 Line 3,String Current- Group 9 Line 1,String Current- Group 8 Line 4,String Current- Group 9 Line 2,Combiner Voltage-Group 10,String Current- Group 9 Line 3,String Current- Group 10 Line 1,String Current- Group 9 Line 4,String Current- Group 10 Line 2,Combiner Voltage-Group 11,String Current- Group 10 Line 3,String Current- Group 11 Line 1,String Current- Group 10 Line 4,String Current- Group 11 Line 2,Combiner Voltage-Group 12,String Current- Group 11 Line 3,String Current- Group 12 Line 1,String Current- Group 11 Line 4,String Current- Group 12 Line 2,Combiner Voltage-Group 13,String Current- Group 12 Line 3,String Current- Group 13 Line 1,String Current- Group 12 Line 4,String Current- Group 13 Line 2,Combiner Voltage-Group 14,String Current- Group 13 Line 3,String Current- Group 14 Line 1,String Current- Group 13 Line 4,String Current- Group 14 Line 2,Combiner Voltage-Group 15,String Current- Group 14 Line 3,String Current- Group 15 Line 1,String Current- Group 14 Line 4,String Current- Group 15 Line 2,Combiner Voltage-Group 16,String Current- Group 15 Line 3,String Current- Group 16 Line 1,String Current- Group 15 Line 4,String Current- Group 16 Line 2,String Current- Group 16 Line 3,String Current- Group 16 Line 4,Consumption Current R/U/A,Consumption Current S/V/B ,Consumption Current T/W/C ,Total Consumption Power,BackUp Load Consumption,Annual BackUp load power consumption,Cumulative Consumption,Daily Consumption,BDU_Number,BDU_ID,BDU_Inquire,Battery Status,Battery Power,Battery Capacity,SoC,Total Charging Energy,Total Discharging Energy,Daily Charging Energy,Daily Discharging Energy,Monthly Charging Energy,Monthly Discharging Energy,Yearly Charging Energy,Yearly Discharging Energy,Battery Rated Capacity,Pack RT Temperature5 Pack,Pack RT Temperature6 Pack,Pack RT Temperature7 Pack,Pack RT Temperature8 Pack,Pack RT Total Voltage,Pack Fault Temperature5 Pack,Pack Fault Temperature6 Pack,Pack Fault Temperature7 Pack,Pack Fault Temperature8 Pack,Temperature- Battery Pack 1,Power- Battery Pack 2,Total Voltage- Battery Pack 2,Current- Battery Pack 2,SoC- Battery Pack 2,Maximum Charging Current- Battery Pack 2,Maximum Discharge Current- Battery Pack 2,BMS Max Charge Current,BMS Max Discharge Current,Module temperature1,Module temperature 2,Module temperature 3,Module temperature 4,Module temperature 5,Module temperature 6,Single Plate Ambient Temperature,Radiator Temperature 1,Year,Month,Day,Hour,Minute,Second,Generation Time Today,Generation Time Total,Total Running Hour,Boot Countdown,Bus Voltage,Voltage Bus N Half,Voltage Bus P Half,Voltage Phase L1N,Voltage Phase L2N,Address Mask 12,Address Mask 13,Realtime Capacity,Total Voltage,Total Current,Cell Average Temperature,Model identification,Speed Fan,Current HV LLC Chg Dchg,ESS Under Frequency Exprot Start,ESS Under Frequency Import Start,State 1,State 2,State 3,State 4,State 5,State 6,State 7,State 8,State 9,Inverter status,Inverter Working Status,Insulation Protection Value,Current Output L1N,Current Output L2N,Current PCC L1N,Current PCC L2N,Voltage Derate Response Time,Frequency Derate Config,Meter ConnectNum,AddressMask_Realtime_ArcInfo3,ArcStrength_MPPT_1,ArcStrength_MPPT_2,ArcStrength_MPPT_3,ArcStrength_MPPT_4,ArcStrength_MPPT_5,ArcStrength_MPPT_6,ArcStrength_MPPT_7,ArcStrength_MPPT_8,ArcStrength_MPPT_9,ArcStrength_MPPT_10,ArcStrength_MPPT_11,ArcStrength_MPPT_12,ArcStrength_history_Channel1,ArcStrength_history_Channel2,ArcStrength_history_Channel3,ArcStrength_history_Channel4,ArcStrength_history_Channel5,ArcStrength_history_Channel6,ArcStrength_history_Channel7,ArcStrength_history_Channel8,ArcStrength_history_Channel9,ArcStrength_history_Channel10,ArcStrength_history_Channel11,ArcStrength_history_Channel12,AddressMask_Realtime_ArcInfo4,arc_peak_to_peak,arc_variance,arc_harmonic_energy,arc_amplitude_variance
1734689232,SQ1021080KE22B300010,,Europe General,EU General,80000,,,,,,01,,80KTLX-G3,2024-12-20 15:37:58,V000021,V000021,0607,,,V000013,,,,,,,,,,705.70,754.40,135.70,723.50,766.00,728.70,,,,,,,,,,,,5.98,6.82,0.00,5.47,6.55,6.68,,,,,,,,,,,4220.00,5140.00,0.00,3960.00,5020.00,4870.00,,,,,,,,,,,,23210.0,22670.00,263.00,263.60,263.10,28.81,29.00,28.87,50.03,,,,22670.00,22680.00,,,,,,,,,,,,267126.20,245.27,,,,,,,,,,0.00,0.00,0.00,,,,,,,,,,,17,378,Static,,,,,0.00,,,,,,,,,0.00,2.76,3.25,0.00,,,3.70,3.13,0.00,,,0.00,0.00,0.00,,,2.18,3.26,0.00,,,3.23,3.29,0.00,,3.09,,3.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,51,51,,,,50,46,,,,,,,1109,443659,7958.58,0,790.10,,,,,,,,,,,1,,,,,,,,,,,,,,Grid connected,0,65535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1734689660,SQ1021080KE22B300010,,Europe General,EU General,80000,,,,,,01,,80KTLX-G3,2024-12-20 15:45:09,V000021,V000021,0607,,,V000013,,,,,,,,,,706.30,750.30,134.00,735.40,750.60,724.80,,,,,,,,,,,,5.49,6.23,0.00,4.97,6.09,6.10,,,,,,,,,,,3880.00,4670.00,0.00,3650.00,4570.00,4420.00,,,,,,,,,,,,21190.0,20630.00,262.40,263.10,261.80,26.31,26.41,26.40,49.98,,,,20630.00,20630.00,,,,,,,,,,,,267128.80,247.83,,,,,,,,,,0.00,0.00,0.00,,,,,,,,,,,16,378,Static,,,,,0.00,,,,,,,,,0.00,2.49,2.92,0.00,,,3.36,2.79,0.00,,,0.00,0.00,0.00,,,2.04,2.90,0.00,,,3.03,3.12,0.00,,2.81,,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,56,55,,,,51,50,,,,,,,1117,443667,7958.72,0,770.20,,,,,,,,,,,1,,,,,,,,,,,,,,Grid connected,0,65535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1734690040,SQ1021080KE22B300010,,Europe General,EU General,80000,,,,,,01,,80KTLX-G3,2024-12-20 15:51:32,V000021,V000021,0607,,,V000013,,,,,,,,,,710.10,750.60,134.00,739.30,754.50,729.20,,,,,,,,,,,,5.04,5.72,0.00,4.57,5.55,5.58,,,,,,,,,,,3580.00,4290.00,0.00,3380.00,4190.00,4070.00,,,,,,,,,,,,19510.0,18980.00,261.20,261.70,261.00,24.32,24.45,24.39,50.05,,,,18980.00,18980.00,,,,,,,,,,,,267130.80,249.91,,,,,,,,,,0.00,0.00,0.00,,,,,,,,,,,16,378,Static,,,,,0.00,,,,,,,,,0.00,2.22,2.75,0.00,,,3.12,2.58,0.00,,,0.00,0.00,0.00,,,1.90,2.64,0.00,,,2.74,2.82,0.00,,2.55,,2.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,49,,,,51,46,,,,,,,1123,443673,7958.82,0,774.20,,,,,,,,,,,1,,,,,,,,,,,,,,Grid connected,0,65535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1734690431,SQ1021080KE22B300010,,Europe General,EU General,80000,,,,,,01,,80KTLX-G3,2024-12-20 15:58:03,V000021,V000021,0607,,,V000013,,,,,,,,,,706.00,754.50,135.70,731.30,762.40,728.80,,,,,,,,,,,,4.81,5.35,0.00,4.34,5.12,5.24,,,,,,,,,,,3390.00,4030.00,0.00,3170.00,3910.00,3820.00,,,,,,,,,,,,18320.0,17760.00,261.50,262.00,261.40,22.81,22.88,22.79,50.04,,,,17760.00,17760.00,,,,,,,,,,,,267132.80,251.90,,,,,,,,,,0.00,0.00,0.00,,,,,,,,,,,16,378,Static,,,,,0.00,,,,,,,,,0.00,2.14,2.62,0.00,,,2.93,2.40,0.00,,,0.00,0.00,0.00,,,1.82,2.52,0.00,,,2.54,2.64,0.00,,2.39,,2.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,46,47,,,,50,44,,,,,,,1130,443680,7958.93,0,774.20,,,,,,,,,,,1,,,,,,,,,,,,,,Grid connected,0,65535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1734690824,SQ1021080KE22B300010,,Europe General,EU General,80000,,,,,,01,,80KTLX-G3,2024-12-20 16:04:30,V000021,V000021,0607,,,V000013,,,,,,,,,,709.80,754.00,135.40,730.90,758.10,728.90,,,,,,,,,,,,4.47,5.04,0.00,4.08,4.89,4.95,,,,,,,,,,,3170.00,3800.00,0.00,2980.00,3700.00,3610.00,,,,,,,,,,,,17260.0,16730.00,263.30,262.60,261.90,21.40,21.53,21.38,50.15,,,,16730.00,16730.00,,,,,,,,,,,,267134.70,253.79,,,,,,,,,,0.00,0.00,0.00,,,,,,,,,,,16,378,Static,,,,,0.00,,,,,,,,,0.00,1.95,2.45,0.00,,,2.72,2.26,0.00,,,0.00,0.00,0.00,,,1.71,2.38,0.00,,,2.36,2.52,0.00,,2.26,,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,53,53,,,,51,48,,,,,,,1136,443686,7959.03,0,778.10,,,,,,,,,,,1,,,,,,,,,,,,,,Grid connected,0,65535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1734691198,SQ1021080KE22B300010,,Europe General,EU General,80000,,,,,,01,,80KTLX-G3,2024-12-20 16:10:50,V000021,V000021,0607,,,V000013,,,,,,,,,,706.10,754.60,134.10,727.20,754.60,725.40,,,,,,,,,,,,4.14,4.59,0.00,3.78,4.45,4.56,,,,,,,,,,,2920.00,3460.00,0.00,2750.00,3350.00,3310.00,,,,,,,,,,,,15790.0,15310.00,262.40,262.40,261.60,19.65,19.75,19.65,50.05,,,,15310.00,15310.00,,,,,,,,,,,,267136.40,255.45,,,,,,,,,,0.00,0.00,0.00,,,,,,,,,,,16,378,Static,,,,,0.00,,,,,,,,,0.00,1.82,2.22,0.00,,,2.53,2.07,0.00,,,0.00,0.00,0.00,,,1.58,2.25,0.00,,,2.14,2.27,0.00,,2.02,,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,51,50,,,,52,47,,,,,,,1142,443692,7959.13,0,774.20,,,,,,,,,,,1,,,,,,,,,,,,,,Grid connected,0,65535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1734691611,SQ1021080KE22B300010,,Europe General,EU General,80000,,,,,,01,,80KTLX-G3,2024-12-20 16:17:33,V000021,V000021,0607,,,V000013,,,,,,,,,,705.90,754.50,133.10,719.50,706.60,725.20,,,,,,,,,,,,3.87,4.38,0.00,3.63,4.15,4.29,,,,,,,,,,,2730.00,3300.00,0.00,2610.00,2930.00,3110.00,,,,,,,,,,,,14680.0,14290.00,262.30,262.20,261.50,18.38,18.44,18.41,50.03,,,,14290.00,14290.00,,,,,,,,,,,,267138.10,257.15,,,,,,,,,,0.00,0.00,0.00,,,,,,,,,,,16,378,Static,,,,,0.00,,,,,,,,,0.00,1.76,2.15,0.00,,,2.35,2.02,0.00,,,0.00,0.01,0.00,,,1.45,2.16,0.00,,,1.96,2.19,0.00,,1.86,,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,45,45,,,,50,43,,,,,,,1149,443699,7959.25,0,774.10,,,,,,,,,,,1,,,,,,,,,,,,,,Grid connected,0,65535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1734692044,SQ1021080KE22B300010,,Europe General,EU General,80000,,,,,,01,,80KTLX-G3,2024-12-20 16:24:48,V000021,V000021,0607,,,V000013,,,,,,,,,,697.60,742.10,131.70,719.00,690.30,721.10,,,,,,,,,,,,3.38,3.86,0.00,3.17,3.05,3.73,,,,,,,,,,,2360.00,2860.00,0.00,2280.00,2110.00,2690.00,,,,,,,,,,,,12300.0,12000.00,260.60,260.80,260.90,15.49,15.64,15.58,49.99,,,,12000.00,12000.00,,,,,,,,,,,,267139.70,258.72,,,,,,,,,,0.00,0.00,0.00,,,,,,,,,,,13,378,Static,,,,,0.00,,,,,,,,,0.00,1.51,1.83,0.00,,,2.06,1.80,0.00,,,0.00,0.01,0.00,,,1.26,1.92,0.00,,,1.34,1.76,0.00,,1.63,,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,48,48,,,,50,46,,,,,,,1156,443706,7959.37,0,762.20,,,,,,,,,,,1,,,,,,,,,,,,,,Grid connected,0,65535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1734692430,SQ1021080KE22B300010,,Europe General,EU General,80000,,,,,,01,,80KTLX-G3,2024-12-20 16:31:19,V000021,V000021,0607,,,V000013,,,,,,,,,,705.40,750.70,131.30,702.70,665.10,720.70,,,,,,,,,,,,3.04,3.56,0.00,2.92,2.75,3.42,,,,,,,,,,,2140.00,2670.00,0.00,2050.00,1830.00,2470.00,,,,,,,,,,,,11160.0,10800.00,262.10,262.40,261.80,13.96,14.03,13.97,50.01,,,,10800.00,10800.00,,,,,,,,,,,,267140.90,259.95,,,,,,,,,,0.00,0.00,0.00,,,,,,,,,,,12,378,Static,,,,,0.00,,,,,,,,,0.00,1.39,1.66,0.00,,,1.87,1.71,0.00,,,0.00,0.00,0.00,,,1.14,1.73,0.00,,,1.18,1.50,0.00,,1.49,,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,49,48,,,,52,47,,,,,,,1163,443713,7959.48,0,762.10,,,,,,,,,,,1,,,,,,,,,,,,,,Grid connected,0,65535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1734692825,SQ1021080KE22B300010,,Europe General,EU General,80000,,,,,,01,,80KTLX-G3,2024-12-20 16:37:52,V000021,V000021,0607,,,V000013,,,,,,,,,,706.10,750.40,134.70,711.20,746.60,729.30,,,,,,,,,,,,2.71,3.13,0.00,2.54,2.09,2.97,,,,,,,,,,,1910.00,2340.00,0.00,1800.00,1560.00,2160.00,,,,,,,,,,,,9770.0,9460.00,263.10,262.60,262.20,12.29,12.42,12.25,50.00,,,,9460.00,9460.00,,,,,,,,,,,,267142.00,261.07,,,,,,,,,,0.00,0.00,0.00,,,,,,,,,,,15,378,Static,,,,,0.00,,,,,,,,,0.00,1.22,1.54,0.00,,,1.61,1.53,0.00,,,0.00,0.03,0.00,,,0.99,1.57,0.00,,,1.01,1.07,0.00,,1.31,,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,44,44,,,,49,43,,,,,,,1169,443719,7959.58,0,782.20,,,,,,,,,,,1,,,,,,,,,,,,,,Grid connected,0,65535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
